video_id,title,channel,published_at,theme
LiVlS9scKO0,Mundo em Alerta: China apresenta tecnologia para cortar cabos submarinos,Fatos Desconhecidos,2025-04-01T21:30:04Z,tecnologia
sTMwxgzc4jE,"MC Kelvinho, MC Cebezinho, DJ GH - Tecnologia (Videoclipe Oficial)",MC Kelvinho,2024-12-04T21:00:06Z,tecnologia
C5Ec_1uLSR8,Mercado brasileiro atrai gigantes da tecnologia | SBT Brasil (31/03/25),SBT News,2025-03-31T23:40:57Z,tecnologia
bydwBgc-SZM,A Incrível Tecnologia da China que Está Assustando o Mundo,Canal Top10,2024-12-23T22:14:16Z,tecnologia
BHh68tEPUgs,Lançaram um COMPUTADOR QUÂNTICO !!!,TecnoGeek,2024-12-20T19:28:27Z,tecnologia
N6h4FIr3-Sk,Entenda: o que é tecnologia? – TecMundo,TecMundo,2021-12-13T15:00:10Z,tecnologia
rD3AIkASKvM,Vazou o ÓCULOS DA APPLE 😱,TecnoGeek,2024-02-13T17:35:29Z,tecnologia
UGXkdfnQQ1g,Elon Musk Revela Robôs Androids Incríveis: O Futuro da Tecnologia e IA!,Explorador de Curiosidades®,2025-01-18T14:45:04Z,tecnologia
Qxe07BWpkWk,As 10 Inovações tecnológicas que transformarão o mundo em 2024,Diego Candido,2024-02-25T11:00:19Z,tecnologia
0H1QjD1fi6Q,O que é inovação: conceitos básicos - Professor Mario Sergio Salerno,LGI USP,2014-09-26T16:27:41Z,tecnologia
cQujsCb9Ulc,9. MC LIPI - INOVAÇÃO FT. L7NNON (Positividade),MC Lipi Oficial,2023-10-03T18:16:41Z,tecnologia
8rl4InIPml4,O que é inovação? Conceito e exemplos - com Luís Felipe Carvalho,AEVO,2023-02-16T13:00:04Z,tecnologia
cIwtwgINOuw,INOVAÇÃO | COMO INOVAR DENTRO DO SEU NEGÓCIO  | O Conselho 04,O Conselho | Flávio Augusto,2022-10-13T23:00:13Z,tecnologia
mMRPO5wabqY,INOVAÇÃO: Conceito - Aula 1 de 4 | Prof. Alexandre Correa,Palestrante Alexandre Correa,2020-11-13T19:12:51Z,tecnologia
WAuyn3WHfuI,Queijo Amazonito: A Fusão Perfeita de Tradição e Inovação Direto de Bofete 🧀✨ #Fusqueijão,Fusqueijão - Por Aline Garrido,2024-09-23T21:10:23Z,tecnologia
DrOM6IrybFc,Inovação não existe,Atila Iamarino,2024-12-27T14:00:11Z,tecnologia
LOezRPMIG-4,Talks 02/04 - Globo - Inovação com Método - Como Criar Ideias e Tirá-las do Papel,Cia de Talentos,2025-04-03T09:12:55Z,tecnologia
x3duZTiSVQ8,Leo Estakazero - Inovação | DVD &quot;Estakazero Ao Vivo&quot; (Official Music Video),Leo Estakazero,2009-04-22T20:13:58Z,tecnologia
CKLJJj2z_uE,A INTELIGÊNCIA ARTIFICIAL da Apple Chegou e Aqui Estão as NOVIDADES,EntendendoiPhone,2025-04-02T12:51:32Z,tecnologia
4H6zgxtz5vk,"CHIP no CÉREBRO, INTELIGÊNCIA ARTIFICIAL e os MAIORES SINAIS da VINDA de JESUS - LAMARTINE POSELLA",Cortes do Inteligência [OFICIAL],2025-04-02T23:50:24Z,tecnologia
-bYR6f5LXEE,INTELIGÊNCIA ARTIFICIAL DO TWITTER CHAMA ELON MUSK DE MAIOR MENTIROSO DO PLANETA | Galãs Feios,Galãs Feios,2025-04-02T15:00:00Z,tecnologia
HNBtdyMjxKU,Inteligência Artificial Explicada em Apenas 11 Minutos | O Que É Inteligência Artificial?,Bruno Picinini,2024-04-18T21:30:01Z,tecnologia
i6xbl9QzIK0,As 3 etapas da inteligência artificial e por que 3ª pode ser fatal,BBC News Brasil,2023-06-04T12:00:26Z,tecnologia
V2POyQVQuzA,O vídeo para entender Inteligência Artificial de verdade,infinitamente,2024-11-29T14:35:39Z,tecnologia
Mf32OwhVkNA,3 maneiras de entender inteligência artificial (para leigos) (válido para 2025),Ricardo Cavallini,2018-02-02T23:56:13Z,tecnologia
DihUZ2vv2rM,I Seminário Virtual de Inteligência Artificial do CFM,CFM - Conselho Federal de Medicina,2025-04-03T20:26:56Z,tecnologia
